iter	Passed	Remaining
852	1618	278
853	1620	276
854	1621	275
855	1623	273
856	1625	271
857	1626	269
858	1628	267
859	1630	265
860	1632	263
861	1633	261
862	1635	259
863	1637	257
864	1638	255
865	1640	253
866	1641	251
867	1643	249
868	1645	248
869	1647	246
870	1649	244
871	1651	242
872	1653	240
873	1654	238
874	1656	236
875	1658	234
876	1659	232
877	1661	230
878	1663	229
879	1665	227
880	1667	225
881	1668	223
882	1670	221
883	1672	219
884	1674	217
885	1675	215
886	1677	213
887	1679	211
888	1680	209
889	1682	207
890	1683	205
891	1685	204
892	1686	202
893	1688	200
894	1690	198
895	1692	196
896	1694	194
897	1696	192
898	1697	190
899	1699	188
900	1701	186
901	1703	185
902	1705	183
903	1707	181
904	1709	179
905	1711	177
906	1712	175
907	1714	173
908	1715	171
909	1717	169
910	1719	167
911	1721	166
912	1722	164
913	1724	162
914	1726	160
915	1728	158
916	1729	156
917	1731	154
918	1732	152
919	1734	150
920	1736	148
921	1738	147
922	1740	145
923	1741	143
924	1743	141
925	1744	139
926	1746	137
927	1748	135
928	1749	133
929	1751	131
930	1753	129
931	1755	128
932	1756	126
933	1758	124
934	1759	122
935	1761	120
936	1763	118
937	1765	116
938	1766	114
939	1768	112
940	1770	110
941	1771	109
942	1773	107
943	1775	105
944	1777	103
945	1778	101
946	1780	99
947	1782	97
948	1784	95
949	1786	94
950	1787	92
951	1789	90
952	1790	88
953	1792	86
954	1794	84
955	1796	82
956	1797	80
957	1799	78
958	1801	77
959	1803	75
960	1804	73
961	1806	71
962	1808	69
963	1811	67
964	1813	65
965	1815	63
966	1818	62
967	1820	60
968	1821	58
969	1823	56
970	1824	54
971	1826	52
972	1828	50
973	1830	48
974	1831	46
975	1833	45
976	1835	43
977	1836	41
978	1838	39
979	1840	37
980	1842	35
981	1844	33
982	1845	31
983	1847	30
984	1849	28
985	1851	26
986	1853	24
987	1854	22
988	1856	20
989	1857	18
990	1860	16
991	1861	15
992	1863	13
993	1865	11
994	1867	9
995	1869	7
996	1870	5
997	1872	3
998	1874	1
999	1876	0
